row_id,_source_file,month_start,year,month,booking_location,tankers_booked,tankers_delivered,delivery_gap,index,division,section,noofbookings,delivered
R219,tankers_reports_2024_3.csv,2024-03-01,2024,3,,95,95,0,218,4,SULTAN BAZAR,95,95
R220,tankers_reports_2024_3.csv,2024-03-01,2024,3,,11,11,0,219,4,ZIAGUDA,11,11
R221,tankers_reports_2024_3.csv,2024-03-01,2024,3,,87,86,1,220,5,ADIKMET,87,86
R222,tankers_reports_2024_3.csv,2024-03-01,2024,3,,22,22,0,221,5,AMBERPET,22,22
R223,tankers_reports_2024_3.csv,2024-03-01,2024,3,,348,348,0,222,5,AZAMABAD,348,348
R224,tankers_reports_2024_3.csv,2024-03-01,2024,3,,228,228,0,223,5,BAGH LINGAMPALLY,228,228
R225,tankers_reports_2024_3.csv,2024-03-01,2024,3,,300,299,1,224,5,BARKATPURA,300,299
R226,tankers_reports_2024_3.csv,2024-03-01,2024,3,,76,76,0,225,5,BOATS CLUB,76,76
R227,tankers_reports_2024_3.csv,2024-03-01,2024,3,,82,82,0,226,5,DOMALGUDA,82,82
R228,tankers_reports_2024_3.csv,2024-03-01,2024,3,,526,526,0,227,5,GANDHINAGAR,526,526
R229,tankers_reports_2024_3.csv,2024-03-01,2024,3,,468,468,0,228,5,MUSHEERABAD,468,468
R230,tankers_reports_2024_3.csv,2024-03-01,2024,3,,539,538,1,229,5,NARAYANGUDA,539,538
R231,tankers_reports_2024_3.csv,2024-03-01,2024,3,,187,185,2,230,5,SHIVAM,187,185
R232,tankers_reports_2024_3.csv,2024-03-01,2024,3,,69,69,0,231,5,VIGYANPURI,69,69
R233,tankers_reports_2024_3.csv,2024-03-01,2024,3,,4055,4055,0,232,6,BANJARA HILLS,4055,4055
R234,tankers_reports_2024_3.csv,2024-03-01,2024,3,,372,365,7,233,6,BORABANDA,372,365
R235,tankers_reports_2024_3.csv,2024-03-01,2024,3,,725,723,2,234,6,ERRAGADDA,725,723
R236,tankers_reports_2024_3.csv,2024-03-01,2024,3,,1729,1718,11,235,6,FATHENAGAR,1729,1718
R237,tankers_reports_2024_3.csv,2024-03-01,2024,3,,677,677,0,236,6,FILM NAGAR,677,677
R238,tankers_reports_2024_3.csv,2024-03-01,2024,3,,5158,5158,0,237,6,JUBILEE HILLS,5158,5158
R239,tankers_reports_2024_3.csv,2024-03-01,2024,3,,260,259,1,238,6,S.P.R HILLS,260,259
R240,tankers_reports_2024_3.csv,2024-03-01,2024,3,,5073,5006,67,239,6,S.R.NAGAR,5073,5006
R241,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2112,2112,0,240,6,SOMAJIGUDA,2112,2112
R242,tankers_reports_2024_3.csv,2024-03-01,2024,3,,1926,1926,0,241,6,THATTIKHANA,1926,1926
R243,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2861,2817,44,242,6,VENGALRAONAGAR,2861,2817
R244,tankers_reports_2024_3.csv,2024-03-01,2024,3,,1785,1736,49,243,6,YELLAREDDYGUDA,1785,1736
