year,month,division,section,noofbookings,delivered,_source_file,date,month_iso
2024,3,7,SRINIVAS NAGAR,408,408,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,TARNAKA,729,729,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,8,PATANCHERU PIPELINE,1,1,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,BALAJINAGAR (DIV 9),3190,3187,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,BALANAGAR,96,96,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,BHAGYANAGAR,2138,2137,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,BHARATHNAGAR,47,46,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,GAYATRI NAGAR,1804,1794,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,HASMATHPET,644,644,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,KPHB,5848,5848,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,KUKATPALLY,899,896,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,MOOSAPET,70,68,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,MOTI NAGAR,535,534,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,VIVEKANANDA NAGAR,224,224,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,9,YELLAMMABANDA,879,865,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,ALKAPURI,973,973,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,DILSHUKNAGAR,104,104,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,KOTHAPETA,152,152,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,LINGOJIGUDA,105,105,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,MARUTHINAGAR (DIV 10),340,340,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,SAHEBNAGAR (DIV 10),430,430,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,SAROORNAGAR,366,366,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,10,VAISHALINAGAR (DIV 10),111,111,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,ADARSHNAGAR,46,46,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,Bhagatsingh Nagar,27,27,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,CHINTAL,58,58,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,GAJULARAMARAM,610,610,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,JEEDIMETLA,110,110,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,12,Jagathgirigutta,79,78,tankers_reports_2024_3.csv,2024-03-01,2024-03
